Vote,Sector,Subprogram,Financial Year,Released Budget (UGX),Actual Expenditure (UGX),Source File
13,Education,0751 Delivery of Tertiary Education,17/18,74.81,52.03,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,74.81,52.03,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
10,Agric,"Class: Outputs Provided
211101 General Staff Salaries
211103 Allowances
212101 Social Security Contributions
213001 Medical expenses (To employees)
213004 Gratuity Expenses
221001 Advertising and Public Relations
221002 Workshops and Seminars
221003 Staff Training
221006 Commissions and related charges
221007 Books, Periodicals & Newspapers
221008 Computer supplies and Information Technology (IT)
221009 Welfare and Entertainment
221010 Special Meals and Drinks
221011 Printing, Stationery, Photocopying and Binding
221012 Small Office Equipment
221014 Bank Charges and other Bank related costs
221016 IFMS Recurrent costs
222001 Telecommunications
223002 Rates
223003 Rent – (Produced Assets) to private entities
223004 Guard and Security services
223005 Electricity
223006 Water
224004 Cleaning and Sanitation
224006 Agricultural Supplies
225001 Consultancy Services- Short term
226001 Insurances",17/18,67.62,48.06,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,74.81,52.03,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0751 Delivery of Tertiary Education,17/18,108.87,122.04,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,108.21,122.04,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,108.21,122.04,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0751 Delivery of Tertiary Education,17/18,32.06,30.59,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,32.06,30.59,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,32.06,30.59,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0751 Delivery of Tertiary Education and Research,17/18,39.7,35.96,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",17/18,39.7,35.96,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Programme 0751 Delivery of Tertiary Education and
Research",17/18,39.7,35.96,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0751 Delivery of Tertiary Education,17/18,11.16,12.6,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,11.16,12.6,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,11.16,12.6,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,"Class: Outputs Provided
071201 Pre-Primary and Primary Curriculum
071202 Secondary Education Curriculum
071203 Production of Instructional Materials
071204 BTVET Curriculum
071205 Research, Evaluation, Consultancy and Publications
071206 Administration and Support Services",17/18,6.82,7.7,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0751 Delivery of Tertiary Education,17/18,14.05,19.9,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,14.05,19.9,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,14.05,19.9,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,0751 Delivery of Tertiary Education,17/18,12.58,12.55,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,12.58,12.55,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
13,Education,Programme 0751 Delivery of Tertiary Education,17/18,12.58,12.55,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"0801 Health Monitoring and Quality Assurance
0802 Health infrastructure and equipment
0803 Health Research
0804 Clinical and public health
0805 Pharmaceutical and other Supplies
0849 Policy, Planning and Support Services",17/18,0.64,0.6,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Programme 0801 Health Monitoring and Quality
Assurance",17/18,0.64,0.6,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,Programme 0802 Health infrastructure and equipment,17/18,118.68,46.84,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
080201 Monitoring, Supervision and Evaluation of Health
Systems",17/18,23.36,13,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Capital Purchases
080272 Government Buildings and Administrative
Infrastructure
080275 Purchase of Motor Vehicles and Other Transport
Equipment
080276 Purchase of Office and ICT Equipment, including
Software
080277 Purchase of Specialised Machinery & Equipment
080278 Purchase of Office and Residential Furniture and
Fittings
080280 Hospital Construction/rehabilitation
080281 Health centre construction and rehabilitation
080282 Staff houses construction and rehabilitation",17/18,86.33,31.6,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,Programme 0803 Health Research,17/18,1.04,1.04,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Funded
080351 Specialised Medical Research in HIV/AIDS and
Clinical Care (JCRC)
080352 Support to Uganda National Health Research
Organisation(UNHRO)",17/18,1.04,1.04,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,Programme 0804 Clinical and public health,17/18,49.78,45.63,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
080401 Community health services provided (control of
communicable and non communicable diseases)
080402 Clinical health services provided (infrastructure,
pharmaceutical, integrated curative)
080403 National endemic and epidemic disease control
services provided
080404 Technical support, monitoring and evaluation of
service providers and facilities
080405 Immunisation services provided",17/18,21.31,17.73,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"080406 Coordination of Clinical and Public Health including
the Response to the Nodding Disease
080409 Indoor Residual Spraying (IRS) services provided
080410 Maintenance of medical and solar equipment
080411 Coordination of clinical and public health
emergencies including the response to the nodding syndrome
080412 National Ambulance Services provided",17/18,1.39,0.94,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Funded
080451 Medical Intern Services
080452 Transfer to International Health Organisations
080453 Support to Local Governments",17/18,22.96,24.56,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
080501 Preventive and curative Medical Supplies (including
immuninisation)
080502 Strengthening Capacity of Health Facility Managers
080503 Monitoring and Evaluation Capacity Improvement",17/18,648.03,142.43,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Funded
080551 Transfer to Autonomous Health Institutions",17/18,4.97,3.78,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
084901 Policy, consultation, planning and monitoring
services
084902 Ministry Support Services
084903 Ministerial and Top Management Services
084904 Health Sector reforms including financing and
national health accounts
084919 Human Resource Management Services",17/18,38.21,19.17,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Funded
084951 Transfers to International Health Organisation",17/18,0.76,0.74,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,084952 Health Regulatory Councils,17/18,0.3,0.28,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Programme 0801 Health Monitoring and Quality
Assurance",17/18,0.64,0.6,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,Programme 0803 Health Research,17/18,1.04,1.04,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,Programme 0804 Clinical and public health,17/18,49.78,45.63,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"06 Community Health
07 Clinical Services
08 National Disease Control
09 Shared National Services
11 Nursing Services
1413 East Africa Public Health Laboratory Network Project
Phase II
1441 Uganda Sanitation Fund Project II",17/18,2.07,1.85,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"0220 Global Fund for AIDS, TB and Malaria
1436 GAVI Vaccines and Health Sector Development Plan
Support",17/18,670.2,211.49,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"01 Headquarters
02 Planning
10 Internal Audit Department
12 Human Resource Management Department
1500 Institutional Capacity Building in the Health Sector-
Phase II",17/18,20.6,16.43,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,Programme: 0802 Health infrastructure and equipment,17/18,103.53,23.71,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
085906 Supply of EMHS to HC 11 ( Basic Kit)
085907 Supply of EMHS to HC 111 ( Basic Kit)
085908 Supply of EMHS to HC 1V
085909 Supply of EMHS to General Hospitals
085910 Supply of EMHS to Regional Referral Hospitals
085911 Supply of EMHS to National Referral Hospitals
085913 Supply of EMHS to Specialised Units
085914 Supply of Emergency and Donated Medicines
085915 Supply of Reproductive Health Items
085916 Immunisation Supplies
085917 Supply of Lab Commodities to accredited Facilities
085918 Supply of ARVs to accredited Facilities
085919 Supply of Anti-Malarial Medicines (ACTs) to
accredited facilities
085920 Supply of TB medicines to accredited facilities",17/18,237.96,283.96,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,01 Pharmaceuticals and Other Health Supplies,17/18,237.96,283.96,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,0807 Community Health Management,17/18,22.19,19.97,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,Programme 0807 Community Health Management,17/18,22.19,19.97,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
080703 Primary Health Care Services (Wages)
080704 Primary Health Care Services (Operations)",17/18,18.57,16.62,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Funded
080751 Provision of Urban Health Services",17/18,0.8,0.8,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Capital Purchases
080780 Health Infrastructure Construction
080781 Health Infrastructure Rehabilitation",17/18,2.82,2.54,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,Programme 0807 Community Health Management,17/18,22.19,19.97,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,08 Public Health,17/18,19.37,17.43,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,0852 Human Resource Management for Health,17/18,5.42,5.42,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Programme 0852 Human Resource Management for
Health",17/18,5.42,5.42,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
085201 Health Workers Recruitment services
085202 Secretariat Support Services
085205 Technical Support and Support Supervision
085206 Health Workers Recruitment and Human Resource
for Health Management Services",17/18,5.16,5.15,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Programme 0852 Human Resource Management for
Health",17/18,5.42,5.42,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,0365 Health Service Commision,17/18,0.26,0.26,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
085401 Inpatient Services - National Referral Hospital
085402 Outpatient Services - National Referral Hospital
085403 Medical and Health Supplies Procured and
Dispensed - National Referral Hospital
085404 Diagnostic Services
085405 Hospital Management and Support Services -
National Referral Hospital
085407 Immunisation Services
085419 Human Resource Management Services",17/18,49.4,47.5,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,0855 Provision of Specialised Mental Health Services,17/18,12.76,12.84,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Programme 0855 Provision of Specialised Mental Health
Services",17/18,12.52,12.84,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
085501 Administration and Management
085502 Mental Health inpatient Services Provided
085503 Long Term Planning for Mental Health
085504 Specialised Outpatient and PHC Services Provided
085505 Community Mental Health Services and Technical
Supervision
085506 Immunisation Services
085519 Human Resource Management Services
085520 Records Management Services",17/18,10.71,11.03,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Programme 0855 Provision of Specialised Mental Health
Services",17/18,12.52,12.84,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"0911 Butabika and health centre remodelling/construction
1474 Institutional Support to Butabika National Referral
Hospital",17/18,1.4,1.4,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation services
085619 Human Resource Management Services
085620 Records Management Services",17/18,0.05,0.05,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085607 Immunisation Services",17/18,5.9,5.92,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
14,Health,"Class: Outputs Provided
085601 Inpatient services
085602 Outpatient services
085603 Medicines and health supplies procured and
dispensed
085604 Diagnostic services
085605 Hospital Management and support services
085606 Prevention and rehabilitation services
085619 Human Resource Management Services",17/18,5.4,5.96,Annual%20Budget%20Performance%20Report%20%28ABPR%29%20FY%202017-18.pdf
